market-census	ts/src/binance.ts	fetchIsolatedBorrowRates	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchBorrowRateHistory	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createGiftCode	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchBorrowInterest	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	repayCrossMargin	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	repayIsolatedMargin	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	repayIsolatedMargin	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	borrowCrossMargin	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	borrowIsolatedMargin	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	borrowIsolatedMargin	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOpenInterestHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOpenInterest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchGreeks	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchMarginMode	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOption	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchMarginAdjustmentHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchConvertQuote	fromCurrency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchConvertQuote	toCurrency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createConvertTrade	fromCurrency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	createConvertTrade	toCurrency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchConvertTrade	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchConvertTradeHistory	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchLongShortRatioHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchADLRank	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchTradingFee	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchOrders	orders	parseOrders	4	none	unsafe-use:write [orders = this.filterBy (orders, 'symbol', symbol) as Order[]]	-	Object	sim-unsafe:write [orders = this.filterBy (orders, 'symbol', symbol) as Order[]]
market-census	ts/src/bitflyer.ts	fetchMyTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitflyer.ts	fetchFundingRate	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	amountToPrecision	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	priceToPrecision	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	transfer	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	createOrderRequest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchOrderTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchTradingFees	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchFundingRateHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchOpenInterest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchOpenInterestHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	fetchLiquidations	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	setMargin	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitfinex.ts	editOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	amountToPrecision	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitget.ts	fetchMarketLeverageTiers	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	parseBalance	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchTickers	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchTickers	market	safeMarket	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchTickers	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchTickers	market	safeMarket	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	createOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	createOrderRequest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	createTwapOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchWithdrawal	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchDeposit	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	createDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bithumb.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitmex.ts	convertFromRealAmount	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitmex.ts	convertToRealAmount	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitmex.ts	amountToPrecision	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
